HGNC.symbol	PROBEID
ZNF529-AS1	237364_at
ZNF529-AS1	237364_at
ZNF529-AS1	237364_at
MARVELD3	233634_at
MARVELD3	239148_at
MARVELD3	239350_at
C5orf56	230405_at
C5orf56	1564276_at
C5orf56	232253_at
C5orf56	230405_at
SNTB1	208608_s_at
SNTB1	226438_at
SNTB1	214708_at
SNTB1	208608_s_at
SNTB1	215431_at
AFAP1-AS1	1558216_at
AFAP1-AS1	223779_at
RNU6-913P	1556917_a_at
MMP13	205959_at
ZNF695	208273_at
PRDM8	219835_at
PRDM8	219835_at
PRDM8	219835_at
PRDM8	219835_at
PHYHIP	205325_at
PHYHIP	205325_at
SPCS3	222753_s_at
SPCS3	221844_x_at
SPCS3	218817_at
SPCS3	222753_s_at
SPCS3	218817_at
SPCS3	222753_s_at
SPCS3	218817_at
CSN2	207951_at
ERMN	231911_at
ERMN	231911_at
SNORA7A	200674_s_at
C12orf40	1561721_a_at
C12orf40	1561721_a_at
C12orf40	1553424_at
C12orf40	1561721_a_at
ZNF581	223389_s_at
ZNF581	223389_s_at
ZNF581	223389_s_at
ZNF581	223389_s_at
APEH	201284_s_at
APEH	242015_x_at
APEH	201284_s_at
APEH	242015_x_at
APEH	201284_s_at
APEH	242015_x_at
APEH	201284_s_at
APEH	242015_x_at
FCF1	240928_at
FCF1	212499_s_at
FCF1	219927_at
FCF1	219927_at
FCF1	219927_at
FCF1	219927_at
PRAM1	241742_at
PRAM1	241742_at
PRAM1	241742_at
DYDC1	1552993_at
DYDC1	1552993_at
DYDC1	1552993_at
DYDC1	1552993_at
SIDT1	219734_at
ATP6V1B1	205473_at
ATP6V1B1	205473_at
ATP6V1B1	205473_at
ATP6V1B1	1554847_at
ATP6V1B1	205473_at
WDR92	235071_at
WDR92	235071_at
WDR92	235071_at
MAN2B1	209166_s_at
MAN2B1	209166_s_at
MAN2B1	209166_s_at
MAN2B1	209166_s_at
MAN2B1	209166_s_at
MAN2B1	209166_s_at
HIST1H2BK	208579_x_at
RRH	208314_at
TBCC	202495_at
TUSC8	1569436_at
KRTAP5-AS1	1562681_at
CMTM6	217947_at
CMTM6	223047_at
CMTM6	217947_at
RPS2P45	207489_at
GXYLT2	235733_at
GXYLT2	235371_at
CT45A6	1567912_s_at
CT45A6	235700_at
CT45A6	1567912_s_at
CT45A6	235700_at
QPRT	204044_at
QPRT	242414_at
QPRT	204044_at
QPRT	242414_at
QPRT	204044_at
QPRT	204044_at
QPRT	242414_at
KRTAP2-2	234772_s_at
KRTAP2-2	234772_s_at
LINC00929	1562972_at
